   Date    Average_velocity(km/s)  Correlation_time(minutes)  
1998-03-11     524.8271484375                  35             
1998-03-12    516.940185546875                 32             
1998-03-22    560.29150390625                  16             
1998-04-18   525.8283081054688                 10             
1998-05-02    590.75634765625                  57             
1998-05-04   668.9384155273438                 66             
1998-05-05   583.6963500976562                 53             
1998-05-08    565.96337890625                  26             
1998-05-09   526.7018432617188                 54             
1998-05-29   524.1580200195312                 36             
1998-05-30    590.346923828125                 94             
1998-06-07   579.6395874023438                 14             
1998-06-08   502.9112243652344                 59             
1998-07-06   582.5914916992188                 32             
1998-07-16   536.9166870117188                 23             
1998-07-17    523.62255859375                  60             
1998-07-23    626.06494140625                  12             
1998-07-24   655.3734741210938                 18             
1998-07-25    578.341064453125                 43             
1998-08-26   646.2345581054688                 35             
1998-08-27    623.45556640625                  59             
1998-08-28   581.6010131835938                 19             
1998-08-29   545.6743774414062                 34             
1998-08-30    548.997802734375                 26             
1998-09-25     714.6767578125                  47             
1998-09-26   583.7096557617188                 96             
1998-09-27   530.9263305664062                 21             
1998-10-01   513.7039184570312                 41             
1998-10-02   609.2904052734375                 21             
1998-10-03   556.7686157226562                 30             
1998-10-08   518.0983276367188                 15             
1998-10-21   542.7435302734375                 52             
1998-10-22   615.7219848632812                 20             
1998-10-23   539.1160278320312                 60             
1998-10-28   519.6128540039062                 26             
1998-10-29   575.0348510742188                 13             
1998-10-30   505.7004089355469                 16             
1998-11-08   539.8773803710938                146             
1999-01-15   552.1331176757812                 14             
1999-01-22   517.7561645507812                 78             
1999-01-23     567.9638671875                  35             
1999-01-24   518.0974731445312                 25             
1999-02-12   505.4139099121094                 17             
1999-02-15   577.5354614257812                 9              
1999-02-16    512.581787109375                 27             
1999-02-18   607.0562133789062                 67             
1999-02-19    542.04150390625                  58             
1999-03-04   509.2738342285156                 20             
1999-03-05   537.5173950195312                 32             
1999-03-15    506.70751953125                  18             
1999-03-30   500.1092529296875                 33             
1999-04-05   512.6284790039062                 28             
1999-04-20     526.6455078125                  24             
1999-04-21   533.1777954101562                 87             
1999-04-30   603.3086547851562                 18             
1999-05-01   621.7597045898438                 18             
1999-05-02   555.7177124023438                 33             
1999-05-18      554.64453125                   31             
1999-05-19   587.1181030273438                 15             
1999-05-20    515.55908203125                  25             
1999-05-25   527.9886474609375                 23             
1999-06-09      578.5859375                    56             
1999-06-27     510.3720703125                  23             
1999-06-28   694.0863647460938                 27             
1999-06-29   542.2581176757812                 27             
1999-07-02   607.4475708007812                 52             
1999-07-03     532.6630859375                 100             
1999-07-31   572.2461547851562                115             
1999-08-16   549.5038452148438                 72             
1999-08-17   561.5755004882812                 23             
1999-08-18    625.270751953125                 10             
1999-08-19     712.5947265625                  9              
1999-08-20   612.9721069335938                 26             
1999-08-21    502.708740234375                 42             
1999-08-25   537.4019775390625                 31             
1999-08-26   531.2459106445312                 53             
1999-08-27   617.6377563476562                 10             
1999-08-28   608.2203979492188                 18             
1999-08-29   555.6420288085938                 45             
1999-08-30   517.8720092773438                 43             
1999-08-31     558.4013671875                  50             
1999-09-01   526.8412475585938                 12             
1999-09-12    501.993408203125                 52             
